Source: MJ Menne CN Williams Jr. RS Vose NOAA National Climatic Data Center Asheville NC
State_id  ,YEAR  ,Month  ,TMAX (F),TMAXRAW (F),TMAXTOBS (F),TMEAN (F),TMEANRAW (F),TMEANTOBS (F),TMIN (F),TMINRAW (F),TMINTOBS (F) 
'083163',1892,1,.,.,.,.,.,.,.,.,. 
'083163',1892,2,.,.,.,.,.,.,.,.,. 
'083163',1892,3,.,.,.,.,.,.,.,.,. 
'083163',1892,4,.,.,.,.,.,.,.,.,. 
'083163',1892,5,.,.,.,.,.,.,.,.,. 
'083163',1892,6,.,.,.,.,.,.,.,.,. 
'083163',1892,7,.,.,.,.,.,.,.,.,. 
'083163',1892,8,.,.,.,.,.,.,.,.,. 
'083163',1892,9,.,.,.,.,.,.,.,.,. 
'083163',1892,10,.,.,.,.,.,.,.,.,. 
'083163',1892,11,.,.,.,.,.,.,.,.,. 
'083163',1892,12,.,.,.,.,.,.,.,.,. 
'083163',1893,1,.,.,.,.,.,.,.,.,. 
'083163',1893,2,.,.,.,.,.,.,.,.,. 
'083163',1893,3,73.1,.,.,.,.,.,.,.,. 
'083163',1893,4,.,.,.,.,.,.,.,.,. 
'083163',1893,5,79.9,.,.,.,.,.,.,.,. 
'083163',1893,6,.,.,.,.,.,.,.,.,. 
'083163',1893,7,.,.,.,.,.,.,.,.,. 
'083163',1893,8,.,.,.,.,.,.,.,.,. 
'083163',1893,9,.,.,.,.,.,.,.,.,. 
'083163',1893,10,.,.,.,.,.,.,.,.,. 
'083163',1893,11,.,.,.,.,.,.,.,.,. 
'083163',1893,12,.,.,.,.,.,.,.,.,. 
'083163',1894,1,.,.,.,.,.,.,.,.,. 
'083163',1894,2,.,.,.,.,.,.,.,.,. 
'083163',1894,3,.,.,.,.,.,.,.,.,. 
'083163',1894,4,.,.,.,.,.,.,.,.,. 
'083163',1894,5,.,.,.,.,.,.,.,.,. 
'083163',1894,6,84.9,.,.,78.3,.,.,71.7,.,. 
'083163',1894,7,87.4,.,.,81.2,.,.,75,.,. 
'083163',1894,8,89,.,.,81.8,.,.,74.6,.,. 
'083163',1894,9,86.1,.,.,80.4,.,.,74.8,.,. 
'083163',1894,10,82.3,.,.,76.9,.,.,71.4,.,. 
'083163',1894,11,78.6,.,.,72.3,.,.,65.9,.,. 
'083163',1894,12,74.8,.,.,67.6,.,.,60.3,.,. 
'083163',1895,1,75.6,.,.,67.7,.,.,59.8,.,. 
'083163',1895,2,67.9,.,.,60,.,.,52.1,.,. 
'083163',1895,3,77.3,.,.,70.1,.,.,62.8,.,. 
'083163',1895,4,78.3,.,.,71.7,.,.,65,.,. 
'083163',1895,5,83.7,.,.,77.8,.,.,71.9,.,. 
'083163',1895,6,86.9,.,.,80.4,.,.,73.8,.,. 
'083163',1895,7,88.5,.,.,82,.,.,75.5,.,. 
'083163',1895,8,88.5,.,.,82.3,.,.,76.2,.,. 
'083163',1895,9,87.2,.,.,81.4,.,.,75.6,.,. 
'083163',1895,10,82.2,.,.,76.9,.,.,71.7,.,. 
'083163',1895,11,79.4,.,.,73.6,.,.,67.8,.,. 
'083163',1895,12,73.5,.,.,65.7,.,.,57.9,.,. 
'083163',1899,1,.,.,.,.,.,.,.,.,. 
'083163',1899,2,.,.,.,.,.,.,.,.,. 
'083163',1899,3,.,.,.,.,.,.,.,.,. 
'083163',1899,4,.,.,.,.,.,.,.,.,. 
'083163',1899,5,.,.,.,.,.,.,.,.,. 
'083163',1899,6,.,.,.,.,.,.,.,.,. 
'083163',1899,7,.,.,.,.,.,.,.,.,. 
'083163',1899,8,.,.,.,.,.,.,.,.,. 
'083163',1899,9,.,.,.,.,.,.,.,.,. 
'083163',1899,10,.,.,.,.,.,.,.,.,. 
'083163',1899,11,.,.,.,.,.,.,.,.,. 
'083163',1899,12,75.3,.,.,.,.,.,.,.,. 
'083163',1900,1,72.1,.,.,.,.,.,.,.,. 
'083163',1900,2,73.8,.,.,.,.,.,.,.,. 
'083163',1900,3,76.2,.,.,.,.,.,.,.,. 
'083163',1900,4,81.4,.,.,.,.,.,.,.,. 
'083163',1900,5,.,.,.,.,.,.,.,.,. 
'083163',1900,6,85.3,.,.,80,.,.,74.7,.,. 
'083163',1900,7,87.9,.,.,81.5,.,.,75,.,. 
'083163',1900,8,88.6,.,.,82,.,.,75.3,.,. 
'083163',1900,9,87.9,.,.,81.6,.,.,75.2,.,. 
'083163',1900,10,85.4,.,.,79.1,.,.,72.8,.,. 
'083163',1900,11,81.6,.,.,74,.,.,66.4,.,. 
'083163',1900,12,.,.,.,.,.,.,.,.,. 
'083163',1901,1,74.9,.,.,65.9,.,.,56.9,.,. 
'083163',1901,2,74,.,.,64.8,.,.,55.5,.,. 
'083163',1901,3,78,.,.,69.4,.,.,60.7,.,. 
'083163',1901,4,79.5,.,.,69.9,.,.,60.3,.,. 
'083163',1901,5,84.5,.,.,75.6,.,.,66.7,.,. 
'083163',1901,6,85.7,.,.,79.8,.,.,73.9,.,. 
'083163',1901,7,86.7,.,.,81.7,.,.,76.7,.,. 
'083163',1901,8,86.9,.,.,80.8,.,.,74.8,.,. 
'083163',1901,9,87.6,.,.,81.2,.,.,74.8,.,. 
'083163',1901,10,83.9,.,.,78,.,.,72.2,.,. 
'083163',1901,11,76,.,.,67,.,.,58,.,. 
'083163',1901,12,73.3,.,.,65.4,.,.,57.6,.,. 
'083163',1902,1,71.5,.,.,63.1,.,.,54.6,.,. 
'083163',1902,2,70.8,.,.,62.5,.,.,54.1,.,. 
'083163',1902,3,78.3,.,.,71.3,.,.,64.2,.,. 
'083163',1902,4,81.4,.,.,72.3,.,.,63.3,.,. 
'083163',1902,5,85.8,.,.,77.8,.,.,69.8,.,. 
'083163',1902,6,86.3,.,.,80.2,.,.,74.1,.,. 
'083163',1902,7,89.6,.,.,81.8,.,.,74,.,. 
'083163',1902,8,89.7,.,.,81.8,.,.,73.9,.,. 
'083163',1902,9,87.8,.,.,80.6,.,.,73.3,.,. 
'083163',1902,10,84.5,.,.,79.1,.,.,73.7,.,. 
'083163',1902,11,81.2,.,.,75.2,.,.,69.2,.,. 
'083163',1902,12,75.6,.,.,68.6,.,.,61.5,.,. 
'083163',1903,1,73.4,.,.,67,.,.,60.6,.,. 
'083163',1903,2,77.5,.,.,71.4,.,.,65.4,.,. 
'083163',1903,3,79.1,.,.,74.5,.,.,70,.,. 
'083163',1903,4,79,.,.,71.4,.,.,63.8,.,. 
'083163',1903,5,81.8,.,.,74.7,.,.,67.6,.,. 
'083163',1903,6,85.7,.,.,78.7,.,.,71.6,.,. 
'083163',1903,7,88.1,.,.,81.2,.,.,74.3,.,. 
'083163',1903,8,89,.,.,82,.,.,75.1,.,. 
'083163',1903,9,86.3,.,.,79.8,.,.,73.3,.,. 
'083163',1903,10,81.9,.,.,75.1,.,.,68.3,.,. 
'083163',1903,11,77.8,.,.,70.2,.,.,62.6,.,. 
'083163',1903,12,71.6,.,.,62.3,.,.,53,.,. 
'083163',1904,1,72.6,.,.,64.9,.,.,57.2,.,. 
'083163',1904,2,76.7,.,.,69.2,.,.,61.6,.,. 
'083163',1904,3,80,.,.,72.6,.,.,65.3,.,. 
'083163',1904,4,81.7,.,.,73.6,.,.,65.4,.,. 
'083163',1904,5,83.3,.,.,76.6,.,.,69.9,.,. 
'083163',1904,6,85.1,.,.,78.1,.,.,71.1,.,. 
'083163',1904,7,87.4,.,.,80.2,.,.,73,.,. 
'083163',1904,8,86.7,.,.,80.4,.,.,74,.,. 
'083163',1904,9,86.1,.,.,80.6,.,.,75.1,.,. 
'083163',1904,10,82.2,.,.,77.3,.,.,72.3,.,. 
'083163',1904,11,75.2,.,.,68.9,.,.,62.6,.,. 
'083163',1904,12,74,.,.,66.3,.,.,58.5,.,. 
'083163',1905,1,70.3,.,.,62.1,.,.,53.9,.,. 
'083163',1905,2,76.6,.,.,68.9,.,.,61.1,.,. 
'083163',1905,3,80.2,.,.,73.1,.,.,66,.,. 
'083163',1905,4,80.9,.,.,73.9,.,.,66.9,.,. 
'083163',1905,5,85.9,.,.,79.6,.,.,73.4,.,. 
